epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.94162,1.29118,3.65753,1.49567,0.39013,0.17113,0.11443,0.05898,1.85329,3.83876,1.73768,0.00010002,0.00010002,0.00010002
2,7.58191,1.15353,2.62427,1.37649,0.52821,0.27021,0.20641,0.132,1.55628,4.39723,1.69277,0.000209559,0.000209559,0.000209559
3,10.8342,1.10264,2.04515,1.31763,0.54019,0.22837,0.24797,0.16068,1.56255,2.5281,1.7257,0.000311396,0.000311396,0.000311396
4,14.7955,1.02514,1.74259,1.27039,0.3321,0.25567,0.21382,0.10728,1.57846,3.55327,1.70975,0.000405531,0.000405531,0.000405531
5,17.1797,1.08395,1.88063,1.27498,0.43322,0.27695,0.24,0.11556,1.84975,2.71052,1.92342,0.000491965,0.000491965,0.000491965
6,19.5687,1.06179,1.66174,1.27534,0.4355,0.23972,0.18176,0.08271,1.98319,2.9898,2.09577,0.000570697,0.000570697,0.000570697
7,22.1649,1.08806,1.71463,1.32342,0.29125,0.16773,0.11348,0.05878,1.9081,4.89882,2.08916,0.000641728,0.000641728,0.000641728
8,25.1731,1.01035,1.57439,1.28133,0.31926,0.10787,0.10482,0.03912,2.27332,3.94037,2.41656,0.000705058,0.000705058,0.000705058
9,27.5166,1.08459,1.51671,1.27419,0.18106,0.22908,0.0861,0.03045,2.42087,3.69935,2.50033,0.000760685,0.000760685,0.000760685
10,29.9593,1.13333,1.57053,1.32152,0.42614,0.23582,0.19305,0.0882,2.12053,3.69794,2.22351,0.000808612,0.000808612,0.000808612
11,32.3511,1.16459,1.51239,1.32567,0.56574,0.14645,0.17947,0.10006,1.94183,3.05759,2.04274,0.000848836,0.000848836,0.000848836
12,34.8547,1.09833,1.42593,1.30088,0.32877,0.27163,0.18083,0.07417,2.00462,3.25378,2.13384,0.00088136,0.00088136,0.00088136
13,37.7957,1.08876,1.35885,1.26509,0.49126,0.26241,0.22703,0.10432,2.02182,2.8915,2.08755,0.000906181,0.000906181,0.000906181
14,40.2697,1.17182,1.46557,1.37645,0.33596,0.25957,0.1805,0.10002,1.97025,2.46845,2.08528,0.000923301,0.000923301,0.000923301
15,42.6743,1.00881,1.40828,1.25718,0.34745,0.34894,0.25288,0.15277,1.84633,2.77847,1.98725,0.000896846,0.000896846,0.000896846
16,45.1062,0.99335,1.26356,1.23573,0.42134,0.20496,0.22465,0.13185,1.91035,2.93091,2.09361,0.000841835,0.000841835,0.000841835
17,47.3839,0.94124,1.14411,1.20837,0.25561,0.37349,0.24548,0.13582,1.89541,2.96822,2.10977,0.000786824,0.000786824,0.000786824
18,50.5244,1.04507,1.12025,1.2735,0.52534,0.25426,0.27117,0.14778,1.88765,3.16568,2.07733,0.000731813,0.000731813,0.000731813
19,53.0494,1.00228,1.22463,1.21584,0.46869,0.42766,0.3754,0.19119,1.82711,2.60989,1.9885,0.000676802,0.000676802,0.000676802
20,55.6153,0.98955,1.15057,1.22156,0.58451,0.46133,0.41102,0.19823,1.85438,2.39912,2.02982,0.000621791,0.000621791,0.000621791
21,59.5184,0.93943,1.16396,1.29406,0.56847,0.36205,0.35538,0.20416,1.90337,2.26166,2.01628,0.00056678,0.00056678,0.00056678
22,62.6236,1.00829,1.17216,1.41234,0.66817,0.32234,0.33185,0.18219,2.0532,2.427,2.24158,0.000511769,0.000511769,0.000511769
23,65.3376,0.85896,1.03976,1.27507,0.76736,0.36099,0.38264,0.2216,1.83512,2.22795,1.96491,0.000456758,0.000456758,0.000456758
24,67.7855,0.88941,1.07046,1.23907,0.71805,0.43156,0.42521,0.24668,1.76079,2.09269,1.83394,0.000401747,0.000401747,0.000401747
25,70.1069,0.86463,1.00559,1.27709,0.65432,0.39611,0.41298,0.23172,1.78231,2.15644,1.8575,0.000346736,0.000346736,0.000346736
26,72.5238,0.84958,0.92349,1.24874,0.53901,0.45957,0.42947,0.24974,1.78451,2.17484,1.83646,0.000291725,0.000291725,0.000291725
27,75.1822,0.75633,0.84975,1.154,0.53998,0.42624,0.44188,0.23282,1.73775,2.09823,1.80954,0.000236714,0.000236714,0.000236714
28,78.0078,0.78051,0.90088,1.21048,0.66653,0.40836,0.4676,0.25383,1.70285,1.97939,1.79004,0.000181703,0.000181703,0.000181703
29,80.3537,0.74279,0.81309,1.16762,0.59052,0.42794,0.45605,0.26076,1.66406,1.93513,1.76192,0.000126692,0.000126692,0.000126692
30,83.2645,0.74036,0.86293,1.19307,0.79524,0.40206,0.47802,0.28491,1.61838,1.8499,1.72495,7.1681e-05,7.1681e-05,7.1681e-05
